jMRUI Data Textfile

Filename: NE.txt

PointsInDataset: 2048      
DatasetsInFile: 32        
SamplingInterval: 4.6512E-1 
ZeroOrderPhase: 2.925E-1  
BeginTime: 3.67E-1   
TransmitterFrequency: 1.278E8   
MagneticField: 3.0016E0  
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 32 in file
-9.8269E-3	1.592E-2	1.0106E-2	-4.5956E-4
-2.355E-2	2.6523E-2	7.3205E-3	-4.7102E-3
-2.7214E-2	2.2789E-2	8.2581E-3	-5.3447E-4
-2.7371E-2	1.7304E-2	9.9706E-3	-3.3223E-4
-2.6447E-2	7.0818E-3	9.3296E-3	-8.9953E-4
-2.7166E-2	-4.2945E-3	8.7556E-3	-1.6067E-3
-2.9003E-2	-1.4247E-2	8.5715E-3	-2.3568E-3
-3.0111E-2	-2.0629E-2	9.5967E-3	-4.636E-3
-2.7026E-2	-2.3674E-2	7.6704E-3	-2.6633E-3
-1.962E-2	-2.5738E-2	7.4702E-3	-1.8815E-3
-1.0599E-2	-2.9498E-2	6.6473E-3	-3.6628E-3
-2.7963E-3	-3.4148E-2	1.0173E-2	-2.8249E-3
1.1756E-3	-3.717E-2	5.0212E-3	-3.913E-3
2.0768E-3	-3.5462E-2	7.012E-3	-5.8634E-5
3.6211E-3	-2.8021E-2	1.0316E-2	6.0871E-4
7.7882E-3	-1.7984E-2	1.0797E-2	-1.0048E-3
1.4431E-2	-7.0883E-3	9.7668E-3	-2.9344E-3
2.172E-2	6.9181E-4	1.1252E-2	-4.8976E-3
2.7024E-2	5.4646E-3	4.8596E-3	-7.0734E-3
2.9351E-2	8.8677E-3	3.3112E-3	-7.3494E-4
2.7762E-2	1.1393E-2	8.4584E-3	3.2072E-3
2.4579E-2	1.4741E-2	1.4035E-2	-5.9641E-4
2.0634E-2	1.8078E-2	1.3151E-2	-2.914E-3
1.6129E-2	1.9617E-2	1.1138E-2	-4.9216E-3
1.1707E-2	1.9403E-2	1.2359E-2	-6.861E-3
5.9477E-3	1.8047E-2	6.4878E-3	-8.5082E-3
-5.9299E-4	1.5834E-2	5.4008E-3	-3.9298E-3
-6.7531E-3	1.3999E-2	9.7735E-3	-4.4704E-3
-1.1983E-2	1.2228E-2	7.1181E-3	-8.3846E-3
-1.5255E-2	9.7649E-3	1.4669E-3	-5.3821E-3
-1.7196E-2	7.066E-3	4.3446E-3	3.1781E-4
-1.8659E-2	3.7582E-3	6.335E-3	-4.3132E-3
-1.8433E-2	1.6997E-4	4.4353E-3	-1.2094E-3
-1.7645E-2	-3.0772E-3	5.761E-3	-1.1051E-3
-1.5529E-2	-4.6399E-3	9.3323E-3	3.4946E-4
-1.2868E-2	-6.7624E-3	1.0976E-2	-7.1321E-4
-9.4461E-3	-7.7945E-3	1.1348E-2	-5.7948E-3
-5.4825E-3	-8.9503E-3	6.1723E-3	-1.8404E-3
-1.4688E-3	-9.1989E-3	1.0926E-2	1.6597E-4
1.9463E-3	-9.5239E-3	1.4239E-2	-3.501E-3
5.0363E-3	-9.2546E-3	1.0761E-2	-4.2657E-3
7.5776E-3	-8.1831E-3	1.4433E-2	-1.0383E-2
9.428E-3	-6.7322E-3	6.3889E-3	-1.1421E-2
1.0506E-2	-5.2012E-3	3.5767E-3	-8.8506E-3
1.0598E-2	-4.0548E-3	4.4503E-3	-3.2804E-3
1.0524E-2	-2.4155E-3	6.8523E-3	-4.7762E-3
9.1833E-3	-7.9241E-4	5.2413E-3	-4.5361E-3
7.3386E-3	1.0865E-3	7.1105E-3	-5.1149E-3
5.3346E-3	2.2907E-3	4.5905E-3	-6.5912E-3
2.893E-3	3.7751E-3	3.2692E-3	-3.5912E-3
1.5955E-3	4.8754E-3	5.6418E-3	-2.5911E-3
1.0812E-4	5.8846E-3	6.6335E-3	-3.6403E-3
-1.2392E-3	5.9603E-3	7.3927E-3	-5.3492E-3
-2.5582E-3	5.8449E-3	6.8E-3	-4.2678E-3
-3.3675E-3	5.7213E-3	1.9954E-3	-5.4246E-3
-3.6127E-3	4.7405E-3	5.2475E-3	-7.0305E-4
-4.1672E-3	3.8942E-3	7.725E-3	-2.5061E-3
-3.8929E-3	2.9787E-3	5.1302E-3	-1.7929E-3
-3.0716E-3	1.5106E-3	7.6723E-3	-1.5541E-3
-3.0157E-3	4.965E-4	9.3762E-3	2.695E-4
-2.7303E-3	-2.9943E-4	1.2108E-2	-7.9631E-3
-2.2244E-3	-1.115E-3	5.2868E-3	-1.0773E-2
-1.3939E-3	-1.963E-3	2.2053E-3	-5.0853E-3
-5.727E-4	-2.9221E-3	3.8433E-3	-1.8618E-3
-1.3199E-4	-2.9249E-3	5.7842E-3	8.9831E-4
-1.7446E-4	-2.8401E-3	9.2677E-3	-1.7505E-3
3.7877E-4	-2.8483E-3	8.8492E-3	-4.0357E-3
9.244E-4	-2.3939E-3	6.5275E-3	-5.6158E-3
1.2036E-3	-1.8731E-3	3.6456E-3	-1.8874E-3
1.6398E-3	-1.4013E-3	1.0749E-2	-6.8868E-4
1.8468E-3	-4.8516E-4	1.0608E-2	-3.8077E-3
1.7091E-3	-3.7265E-4	8.9804E-3	-5.4782E-3
1.7861E-3	4.4706E-5	1.0008E-2	-4.8633E-3
1.3111E-3	5.5683E-4	6.2171E-3	-5.8015E-3
1.1783E-3	7.8491E-4	6.5644E-3	-1.0598E-3
1.2179E-3	6.9236E-4	1.1262E-2	-1.7195E-3
8.1086E-4	8.3324E-4	1.4934E-2	-6.6558E-3
7.1211E-4	1.1492E-3	1.5553E-2	-8.7965E-3
-8.9882E-5	5.6464E-4	8.4253E-3	-1.2273E-2
2.7259E-4	5.7588E-4	5.3353E-3	-1.0961E-2
-1.7694E-4	4.9929E-4	4.861E-3	-8.9218E-3
-4.4651E-4	3.6942E-4	5.8034E-3	-6.1525E-3
-3.7968E-5	3.2107E-4	7.8793E-3	-4.1049E-3
-8.4376E-4	-1.73E-4	7.0089E-3	-6.474E-3
-8.1789E-4	3.8604E-6	7.5863E-3	-7.7234E-3
-9.9719E-4	2.3483E-4	7.3781E-3	-9.0039E-3
-6.1651E-4	2.552E-5	7.987E-3	-9.0466E-3
-5.0886E-5	3.2153E-4	4.3504E-3	-6.7097E-3
-3.8593E-4	1.7234E-4	7.737E-3	-5.4475E-3
-4.1938E-4	1.8561E-4	5.6491E-3	-8.9506E-3
-2.2125E-4	2.0426E-4	6.998E-3	-6.3709E-3
3.0932E-4	2.7694E-4	8.891E-3	-1.2886E-2
3.6606E-4	1.9121E-4	1.498E-3	-8.6725E-3
5.0913E-4	2.4176E-4	3.4974E-3	-7.8489E-3
5.9834E-4	-3.1891E-4	6.5393E-3	-4.374E-3
5.2301E-4	-2.2358E-4	4.2617E-3	-8.0666E-3
3.8992E-4	-4.9444E-5	6.7486E-3	-8.3419E-3
3.7602E-4	-2.968E-4	3.152E-3	-8.9382E-3
-5.354E-5	-1.7397E-4	3.262E-3	-5.6192E-3
2.7883E-4	-4.0536E-4	4.8636E-3	-5.3769E-3
8.9095E-5	-1.7538E-4	9.839E-3	-5.6397E-3
-5.4529E-4	-1.0934E-5	6.4859E-3	-1.3331E-2
-2.3535E-4	-3.9924E-4	7.9527E-4	-9.7937E-3
-4.5663E-4	-4.3208E-5	1.0314E-3	-6.9736E-3
-9.6787E-5	6.661E-5	5.0212E-3	-7.9982E-3
-2.5071E-4	6.2827E-5	1.9146E-3	-7.9049E-3
2.3928E-4	3.2845E-4	4.6277E-3	-6.8593E-3
9.9399E-5	1.0152E-4	2.6161E-3	-1.0083E-2
5.5422E-4	-1.17E-4	-1.1392E-3	-6.4611E-3
8.5204E-5	3.435E-4	1.3505E-3	-6.8334E-3
6.9153E-5	5.8788E-5	8.5168E-4	-6.3912E-3
3.0642E-5	1.6406E-4	1.533E-3	-5.4385E-3
2.4423E-4	1.3496E-4	-7.7567E-4	-2.9737E-3
2.4414E-4	2.8213E-4	3.9918E-3	-9.5642E-4
3.4837E-4	1.3452E-4	3.6983E-3	-2.6427E-3
1.8403E-4	-1.8251E-4	7.5987E-3	-1.992E-3
7.1473E-5	-4.0512E-4	5.6025E-3	-5.3941E-3
-1.7414E-5	-3.9741E-4	4.4235E-3	-7.9586E-3
1.7737E-5	-3.8968E-5	2.4308E-3	-5.4583E-3
-4.2642E-4	-5.0818E-4	4.095E-3	-3.6414E-3
-1.8937E-4	3.358E-5	4.6602E-3	-5.6456E-3
-6.3271E-7	4.9254E-5	3.1374E-3	-5.5708E-3
-5.3749E-5	-2.5394E-4	4.0974E-3	-2.8506E-3
-5.3264E-5	1.4351E-6	3.4143E-3	-3.8983E-3
2.2622E-4	2.8623E-4	5.5076E-3	-1.3637E-3
-1.2302E-4	4.605E-4	9.5034E-3	-4.8597E-3
-2.8822E-4	3.6268E-4	8.9511E-3	-8.1204E-3
-8.449E-5	-3.3241E-4	6.3512E-3	-8.0857E-3
-2.2589E-4	-4.1563E-5	3.3607E-3	-9.7343E-3
1.6613E-5	1.3903E-4	2.6482E-3	-4.5105E-3
3.6767E-4	-1.9053E-4	8.2446E-3	-5.0033E-3
1.9401E-4	-3.7952E-6	5.5966E-3	-7.1996E-3
-3.5847E-4	2.171E-4	9.6004E-3	-6.8934E-3
-1.9626E-4	3.8372E-5	1.0705E-2	-1.2621E-2
4.4813E-6	-1.1162E-4	2.2359E-3	-1.7084E-2
-4.6815E-5	-2.8093E-4	-3.7141E-3	-1.2575E-2
-1.9036E-4	-7.7841E-5	-4.6056E-3	-6.2456E-3
1.4466E-4	1.4912E-4	-1.2218E-3	3.4734E-4
-2.9038E-4	-4.0134E-4	6.5358E-3	6.6736E-4
-5.3492E-5	-2.4387E-4	8.7591E-3	-3.9358E-3
2.208E-4	-1.4647E-4	1.0503E-2	-1.1276E-2
-6.7414E-5	7.551E-5	4.9909E-3	-1.214E-2
-2.9157E-5	2.4646E-5	2.8494E-3	-1.2839E-2
-5.3618E-5	-3.0517E-5	2.9484E-4	-8.9559E-3
-7.5501E-5	-7.3669E-6	-5.509E-5	-6.1024E-3
1.4616E-4	5.5141E-5	1.2254E-3	-6.8899E-3
-2.993E-4	-1.1456E-4	1.6584E-3	-4.4521E-3
-9.3597E-5	2.6349E-4	4.5676E-3	-5.3444E-3
2.9577E-4	3.0942E-4	3.2937E-3	-4.5793E-3
-4.2378E-5	3.1373E-4	4.5709E-3	-1.0492E-2
-7.2597E-6	1.3438E-4	3.1701E-3	-5.4292E-3
4.0235E-4	-1.9192E-4	9.6702E-4	-5.6347E-3
2.3009E-4	-3.5312E-4	4.6983E-3	-4.5896E-3
4.5785E-4	-7.0792E-5	4.2767E-3	-8.6627E-3
-1.8206E-4	-1.4509E-4	4.612E-3	-6.6893E-3
-5.6552E-5	8.8348E-6	4.6258E-3	-8.4758E-3
-1.3648E-5	-3.7505E-4	4.7614E-3	-8.0556E-3
6.12E-4	4.5988E-5	3.108E-3	-1.0377E-2
-7.8615E-5	1.0341E-5	-1.5508E-3	-7.5527E-3
-4.2879E-4	2.2588E-4	3.373E-3	-4.1003E-3
-4.0632E-4	7.1147E-5	3.4498E-3	-6.5771E-3
-1.5743E-4	2.1208E-5	2.6636E-3	-7.3455E-3
-1.092E-4	2.4098E-4	4.1555E-3	-3.6474E-3
-3.7583E-4	2.3822E-4	5.619E-3	-5.8579E-3
-2.4028E-4	4.763E-4	2.281E-3	-1.3189E-2
8.0621E-5	3.9882E-4	-5.9738E-4	-6.0985E-3
-4.2651E-6	5.3241E-4	2.0012E-4	-3.7026E-3
2.0602E-4	1.1058E-4	3.9279E-3	-3.3925E-3
5.5103E-4	1.4691E-4	7.4447E-3	-6.1505E-3
4.1986E-4	-2.5787E-4	6.8155E-4	-9.2452E-3
1.694E-4	-6.1685E-4	2.2923E-3	-4.4835E-3
1.518E-4	-3.3234E-4	1.0687E-3	-3.867E-3
3.0565E-5	-1.9307E-4	6.7541E-3	-2.7534E-3
-2.4286E-4	-2.7909E-4	5.2555E-3	-5.6081E-3
-3.2705E-4	3.1851E-4	7.1594E-3	-5.6772E-3
-5.6044E-4	3.6427E-4	7.85E-3	-9.0495E-3
-2.3331E-4	2.5742E-4	3.7402E-3	-1.0867E-2
5.3518E-6	3.6222E-4	5.289E-3	-7.7947E-3
-2.8712E-5	3.9051E-4	4.606E-3	-1.0796E-2
1.4876E-4	1.0854E-4	5.512E-3	-7.3497E-3
2.1355E-4	-8.658E-6	5.472E-3	-8.0813E-3
4.1621E-5	-9.3059E-5	7.8864E-3	-1.1002E-2
-1.942E-5	2.7508E-4	7.051E-3	-1.1764E-2
-1.9008E-4	-1.4727E-5	3.2566E-3	-1.4425E-2
-6.8134E-5	1.336E-4	-5.7445E-4	-1.4612E-2
2.5545E-4	-1.2829E-4	-3.4261E-3	-1.1262E-2
-1.6194E-4	-1.0345E-4	-1.7578E-3	-3.9578E-3
1.3925E-5	-1.207E-4	1.3932E-3	-1.0589E-2
2.1324E-5	9.7308E-5	-1.7416E-3	-1.0795E-2
2.3789E-4	-2.6486E-5	-3.9722E-3	-7.9123E-3
4.9225E-5	-5.2622E-5	-8.666E-4	-3.4175E-3
-8.7675E-4	-3.1927E-4	2.3164E-3	-9.0205E-4
-1.8101E-4	4.1369E-4	4.7098E-3	-5.0674E-3
-2.8372E-4	2.07E-4	5.2094E-3	-6.7317E-3
2.8692E-5	5.0251E-4	3.7993E-3	-6.8145E-3
3.1005E-4	1.9518E-4	5.2997E-3	-1.0943E-2
4.6399E-4	3.2184E-4	2.8351E-3	-8.1016E-3
5.457E-4	2.9091E-4	4.6338E-3	-7.5101E-3
3.6523E-4	7.1044E-5	2.3747E-3	-8.8427E-3
2.5366E-4	1.9531E-4	3.2208E-3	-9.7935E-3
5.0134E-4	-1.6819E-4	1.656E-3	-6.8307E-3
1.0991E-4	-4.6846E-4	3.6517E-3	-5.9278E-3
-5.9716E-6	-3.1113E-4	7.9756E-3	-6.7295E-3
3.6162E-5	-2.2068E-4	5.502E-3	-1.0121E-2
-8.5358E-5	-4.5431E-4	1.0559E-2	-9.2539E-3
-1.5954E-4	-1.8763E-4	1.0353E-2	-1.8113E-2
-1.2907E-4	-1.2888E-4	-2.6679E-3	-1.941E-2
-6.364E-4	-2.5825E-4	-2.8514E-3	-9.9436E-3
-8.4254E-4	-1.137E-4	3.2564E-3	-1.384E-2
-6.1297E-4	1.0335E-4	-8.5658E-4	-1.2517E-2
-3.378E-4	3.1033E-4	-3.3219E-3	-1.2073E-2
-1.8923E-4	6.5345E-4	2.3518E-4	-7.7104E-3
1.1782E-4	4.9018E-4	-3.377E-4	-8.6289E-3
4.206E-4	5.7094E-4	2.5017E-3	-1.2301E-2
5.0237E-4	6.4768E-4	-3.1415E-3	-1.234E-2
2.4977E-4	3.8011E-4	-1.1915E-3	-8.3296E-3
5.7327E-4	1.2382E-4	2.8176E-4	-7.1232E-3
5.1785E-4	-2.4517E-4	2.068E-3	-1.0793E-2
5.7278E-4	-4.7296E-4	1.8184E-3	-1.2847E-2
4.1085E-4	-7.4044E-4	1.5031E-4	-1.4011E-2
1.8811E-5	-6.6969E-4	-1.441E-3	-1.1336E-2
-3.2527E-4	-9.4998E-4	-1.0202E-3	-1.4526E-2
-1.1357E-4	-5.3942E-4	-4.3518E-3	-1.008E-2
-2.7402E-4	-2.6856E-4	-2.0218E-3	-1.1202E-2
-4.0061E-4	-7.9695E-5	-3.3605E-3	-1.1659E-2
-3.6666E-4	-2.9771E-4	-5.5011E-3	-9.0401E-3
-2.4121E-4	-1.8411E-4	-2.7606E-3	-6.6714E-3
-3.095E-4	2.7165E-4	-4.2166E-3	-7.213E-3
-6.1296E-4	4.6518E-4	-2.4215E-3	-6.0017E-3
-1.1888E-4	5.4663E-4	1.6623E-3	-1.021E-2
-6.0148E-5	6.0984E-4	-3.46E-3	-1.0164E-2
3.7045E-4	8.5513E-4	-2.1413E-3	-1.0013E-2
5.4085E-4	2.0022E-4	-5.965E-3	-9.737E-3
7.6859E-4	4.5178E-4	-5.579E-3	-1.305E-3
6.4085E-4	1.2808E-4	1.2611E-3	-8.1103E-3
4.7883E-6	-7.3934E-5	-4.0194E-3	-5.5995E-3
-1.0489E-5	-2.9565E-4	2.1851E-4	-2.9584E-3
-4.5453E-5	-5.6252E-4	7.5255E-3	-8.5136E-3
-4.472E-4	-6.9943E-4	2.5815E-3	-1.0394E-2
-1.6918E-4	-6.0937E-4	-2.1679E-3	-1.8367E-2
-7.7006E-4	-5.2441E-4	-9.1715E-3	-1.3272E-2
-7.1224E-4	1.3744E-4	-1.0259E-2	-5.8653E-3
-5.0572E-4	-9.1279E-5	-7.6064E-3	-1.5339E-3
-6.9173E-4	2.2153E-4	6.1852E-4	3.5078E-3
-5.0051E-4	6.4896E-4	5.1493E-3	-5.4281E-3
1.7539E-4	6.638E-4	2.4909E-3	-6.7454E-3
5.1256E-5	2.0517E-4	-7.5441E-4	-9.5532E-3
-1.6793E-4	5.1629E-4	1.0496E-3	-5.005E-3
1.9443E-4	3.141E-4	1.5948E-3	-7.1996E-3
3.7026E-4	4.3288E-4	4.7574E-3	-7.0705E-3
8.2856E-4	-1.4302E-5	1.3176E-3	-1.353E-2
4.7364E-4	5.6155E-5	-1.6031E-3	-1.2378E-2
7.4743E-4	1.7459E-4	-5.3739E-3	-6.8767E-3
7.2176E-4	-4.7969E-4	-7.8586E-4	-7.6624E-3
3.6006E-4	-5.1137E-4	2.7268E-3	-7.9831E-3
2.9798E-4	-6.7695E-4	-3.5409E-3	-1.1482E-2
-1.9379E-4	-3.9345E-4	-3.4495E-3	-9.698E-3
-2.7226E-4	-5.3028E-4	-4.0322E-3	-3.3624E-3
-7.7018E-4	-4.2344E-4	8.4057E-4	-4.3163E-3
-5.509E-4	-5.729E-5	2.6223E-3	-6.3001E-3
-6.6305E-4	-2.892E-5	2.1786E-3	-1.0339E-2
-1.0505E-3	7.3649E-4	1.1552E-3	-9.3025E-3
-5.0224E-4	6.8898E-4	-1.4155E-3	-8.849E-3
-6.0769E-4	8.5235E-4	2.5165E-4	-9.6052E-3
-4.6975E-4	7.2298E-4	-1.547E-4	-1.1237E-2
3.1601E-5	1.1277E-3	-6.1992E-3	-1.2209E-2
2.6563E-4	6.4955E-4	-2.0388E-3	-9.8634E-3
1.9314E-4	5.0252E-4	-3.0162E-3	-7.1816E-3
6.6231E-4	4.6722E-4	-6.2151E-3	-1.1417E-2
3.2802E-4	1.6692E-5	-5.4087E-3	-5.8549E-3
4.6719E-4	-2.497E-4	-2.8534E-3	-6.0912E-3
5.088E-4	-1.5961E-4	-3.7612E-3	-8.1377E-3
3.2824E-4	-3.8418E-4	-2.8596E-3	-5.7364E-3
3.4656E-4	-5.7406E-4	-4.4865E-3	-4.669E-3
1.0832E-5	-8.0435E-4	-1.6932E-3	-6.5879E-3
-6.9666E-5	-6.2096E-4	-3.5674E-3	2.9285E-4
-2.1072E-4	-1.0278E-3	5.0164E-3	-1.5306E-3
-3.1568E-4	-5.9467E-4	4.6563E-3	-7.814E-3
-6.2045E-4	-3.7849E-4	2.078E-3	-4.4411E-3
-5.3503E-4	-4.2822E-4	7.6793E-3	-6.0212E-3
-4.0857E-4	6.7795E-5	7.0797E-3	-1.4962E-2
-5.623E-4	-3.67E-5	4.5228E-4	-1.5996E-2
1.289E-4	2.3485E-4	-1.9108E-3	-1.4174E-2
1.0194E-4	5.4684E-4	-5.9521E-3	-1.2252E-2
2.2142E-4	3.2963E-4	-3.374E-3	-7.7034E-3
3.6559E-4	1.4571E-5	-7.8587E-4	-1.3072E-2
-2.9259E-5	3.7412E-4	-5.6346E-3	-1.1216E-2
4.4565E-4	2.552E-5	-4.5066E-3	-1.0354E-2
5.3804E-4	-1.3649E-4	-7.0309E-3	-4.2364E-3
4.9473E-4	1.2798E-4	-1.7522E-4	-5.0338E-3
7.5447E-5	-9.6025E-5	-2.1173E-3	-9.8972E-3
2.5468E-4	-9.5818E-5	-2.6767E-3	-1.0152E-2
3.7792E-4	-9.7005E-5	-2.4123E-3	-8.1711E-3
1.9156E-4	-3.347E-5	-7.7939E-3	-9.8161E-3
7.4868E-4	-3.3654E-4	-7.8031E-3	-3.3192E-3
3.5009E-5	-3.9194E-4	-1.0423E-3	-3.7982E-4
3.2566E-5	-1.6191E-4	3.0564E-4	-3.1831E-3
-2.4986E-4	-6.0718E-4	3.9325E-3	-5.5364E-3
-4.977E-4	-2.9005E-4	2.7383E-3	-1.0094E-2
-2.2367E-4	-1.9174E-4	-3.093E-4	-1.1778E-2
-9.0946E-5	3.3874E-4	-2.9729E-3	-1.0879E-2
-1.7578E-4	4.4593E-4	-5.3974E-3	-4.2899E-3
-6.655E-5	-1.7777E-5	2.7169E-3	-7.6209E-3
5.7074E-5	7.107E-4	-8.8647E-4	-8.0513E-3
-7.5195E-5	7.7123E-4	-7.708E-4	-6.6083E-3
2.5343E-4	2.4782E-4	1.4839E-3	-6.1541E-3
-6.8865E-6	2.1944E-4	3.0701E-3	-1.2799E-2
-1.6883E-4	3.2814E-5	-3.9639E-3	-1.331E-2
4.5896E-5	-8.0733E-5	-1.3242E-4	-6.2371E-3
-1.3544E-4	-7.0787E-5	-6.9065E-4	-1.0439E-2
2.5019E-4	-1.8107E-5	-1.6092E-3	-1.1265E-2
-2.2136E-4	-2.8201E-4	-5.0084E-3	-7.9086E-3
9.445E-5	-8.529E-5	-1.7078E-3	-9.8732E-3
-1.9598E-4	-1.7282E-4	-1.3466E-3	-5.6357E-3
-2.9333E-4	-3.9638E-4	8.0065E-4	-8.3141E-3
-4.274E-4	-2.9881E-4	4.2902E-4	-1.0577E-2
-4.7431E-4	-4.2944E-4	-3.2125E-3	-9.7739E-3
-3.3733E-4	-6.2309E-5	-2.7795E-3	-1.0484E-2
-1.1436E-4	-1.5217E-4	-4.3141E-3	-7.1691E-3
1.4301E-4	1.6091E-4	1.2432E-3	-6.6794E-3
1.8038E-4	-3.3501E-5	2.274E-3	-9.8462E-3
1.6095E-4	-6.3018E-5	-1.3604E-3	-1.6071E-2
1.9996E-4	4.8844E-4	-1.8288E-3	-1.0961E-2
4.036E-4	1.8834E-4	-5.2128E-3	-1.4926E-2
6.3598E-4	1.5462E-4	-6.9289E-3	-1.0097E-2
7.7676E-4	-4.1479E-4	-4.538E-3	-9.1668E-3
9.305E-4	-4.5074E-5	-3.0101E-4	-7.1388E-3
1.27E-4	-2.1092E-4	-3.9358E-3	-1.1424E-2
5.1457E-4	-4.4149E-5	-3.666E-3	-8.3629E-3
3.2317E-4	1.4994E-4	-3.8159E-3	-8.0272E-3
1.604E-4	-1.0798E-4	1.0632E-3	-8.6326E-3
3.2819E-4	9.9803E-5	-2.6446E-4	-1.1977E-2
-1.7565E-4	4.8524E-4	-2.7735E-3	-1.3456E-2
-1.5616E-4	5.0026E-5	-2.1383E-3	-1.2361E-2
-7.4394E-4	2.0157E-4	-6.5655E-3	-1.1977E-2
-1.2107E-4	3.1084E-4	-6.4526E-3	-1.274E-2
-7.1576E-4	-3.2157E-4	-7.4686E-3	-9.3854E-3
-2.5114E-4	4.8704E-4	-6.8914E-3	-8.2286E-3
-8.0234E-4	3.6709E-4	-2.4538E-3	-5.4977E-3
-6.5501E-4	5.7486E-4	-2.6577E-3	-1.1823E-2
-6.0706E-4	5.1152E-4	-4.9393E-3	-1.1441E-2
-3.7642E-4	3.7529E-4	-8.7077E-3	-1.0107E-2
-2.8051E-4	3.2285E-4	-5.6776E-3	-3.88E-3
-2.5695E-4	4.4598E-4	-7.0446E-3	-7.5002E-3
1.9026E-4	-2.8017E-4	3.2753E-4	-3.455E-3
2.5227E-4	-5.7946E-5	2.0267E-3	-8.8441E-3
3.1992E-4	-2.5828E-4	-2.0989E-3	-1.1112E-2
3.8324E-4	-3.5859E-4	-2.5139E-3	-9.1001E-3
4.0889E-4	-5.7911E-4	4.2184E-4	-1.2232E-2
5.0124E-4	-3.4426E-4	-4.2662E-3	-1.1981E-2
1.21E-4	-9.8702E-4	-4.1789E-3	-1.3764E-2
1.2468E-4	-3.6423E-4	-6.8522E-3	-1.2485E-2
4.7908E-4	-5.0346E-4	-4.8778E-3	-9.3404E-3
2.2874E-4	-1.9343E-4	-5.2393E-3	-1.2349E-2
1.7571E-4	-5.3441E-5	-8.8756E-3	-1.1584E-2
1.7955E-4	4.9998E-5	-7.4905E-3	-9.3763E-3
4.0708E-5	3.5114E-4	-6.1034E-3	-7.7462E-3
